City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
406,Uniontown,US,77.76,overcast clouds,39.9001,-79.7164,Hampton Inn Uniontown
410,Kargasok,RU,62.74,overcast clouds,59.0556,80.8572,Hotel Kargasok
414,Ibra,OM,77.05,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
416,Abu Dhabi,AE,89.71,clear sky,24.4667,54.3667,Beach Rotana
417,Port Blair,IN,82.44,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
418,Bayir,TR,66.72,clear sky,37.2687,28.2167,Hotel Babadag
420,Zevio,IT,70.66,clear sky,45.3721,11.1293,Tenuta Albertini snc
421,Cabedelo,BR,74.07,clear sky,-6.9811,-34.8339,Pousada Camboinha
424,Lucapa,AO,62.94,clear sky,-8.4192,20.7447,Lírio Mendes
425,Waddan,LY,72.34,clear sky,29.1614,16.139,محل الشريف محمد العايب
426,Kavaratti,IN,83.79,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
427,Takoradi,GH,76.98,light rain,4.8845,-1.7554,Raybow International Hotel
432,Jesi,IT,72.34,clear sky,43.5288,13.2402,Hotel Federico II
434,Mezhdurechensk,RU,67.57,overcast clouds,53.6942,88.0603,Apartments Mezhdurechensk
435,Suluq,LY,70.88,clear sky,31.6682,20.2521,ورشة الحضيري لاكترونات وخدمات النت
436,Goderich,CA,64.72,broken clouds,43.7501,-81.7165,Harmony Inn
437,Bull Savanna,JM,76.42,overcast clouds,17.8868,-77.5902,Big Red's
439,Keffi,NG,74.07,overcast clouds,8.8486,7.8736,Imam Family
440,Juba,SS,68.63,light rain,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
441,Mumford,GH,77.27,broken clouds,5.2618,-0.759,Spanish Villa
443,Kouroussa,GN,71.91,scattered clouds,10.65,-9.8833,Hotel Tando Plus
444,Pisco,PE,62.65,overcast clouds,-13.7,-76.2167,Hotel San Isidro Oficial
445,Bolgatanga,GH,83.77,overcast clouds,10.7856,-0.8514,Mama's Place
446,Sao Felix Do Xingu,BR,71.47,broken clouds,-6.6447,-51.995,Rio Xingu Camping
447,Basoko,CD,69.89,overcast clouds,1.2391,23.616,Jackyna Hotel
448,Lebedyn,UA,60.24,few clouds,50.5852,34.4849,"The regional Children's multi-resort ""Lebedin"""
449,Ponta Delgada,PT,64.51,broken clouds,37.7333,-25.6667,Vila Nova Hotel
451,Matagami,CA,60.91,clear sky,49.7502,-77.6328,Motel Le Caribou
456,Saint-Georges,GD,80.28,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
457,Huescar,ES,71.11,overcast clouds,37.811,-2.5412,Hotel El Maño
458,Dhidhdhoo,MV,82.98,overcast clouds,6.8833,73.1,Dhidhoo beach
459,Breaza,RO,62.29,scattered clouds,45.1833,25.6667,Gclub Breaza
460,Santa Isabel Do Rio Negro,BR,70.3,overcast clouds,-0.4139,-65.0192,Hotel GSA
461,Bombay,IN,82.38,haze,19.0144,72.8479,Hotel Avon Ruby-Dadar
462,Tashtyp,RU,63.64,light rain,52.7939,89.8983,Oblachnyye Glubiny Orden Gusu Lan'
463,Remigio,BR,70.88,scattered clouds,-6.9333,-35.7833,Pousada Ramon
464,Port-Gentil,GA,76.41,overcast clouds,-0.7193,8.7815,Fengshui Residence
465,Sarh,TD,71.83,overcast clouds,9.1429,18.3923,Domicile 1sur le goudron
466,Pitimbu,BR,73.99,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
468,Misratah,LY,71.02,clear sky,32.3754,15.0925,Almasa Hotel
469,Ordynskoye,RU,72.18,overcast clouds,54.3656,81.8994,Lunevka
471,Bilma,NE,88.66,clear sky,18.6853,12.9164,Expeditions Ténére voyages
475,Newberry,US,85.53,clear sky,34.2746,-81.6187,Hampton Inn Newberry-Opera House
477,Sao Gabriel Da Cachoeira,BR,69.01,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
478,Mantua,IT,72.64,few clouds,45.1667,10.7833,Hotel la Favorita
480,Atasu,KZ,67.21,clear sky,48.6814,71.6433,Dostyk
481,Hurghada,EG,82.44,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
483,Boa Vista,BR,76.98,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
485,Santa Barbara,US,79.3,clear sky,34.7333,-120.0343,Upper Ballard Campground
488,Loandjili,CG,73.51,few clouds,-4.7561,11.8578,Résidence ARCHANGE
489,Bikaner,IN,88.56,clear sky,28.0167,73.3,The Laxmi Niwas Palace
491,Nijar,ES,69.66,clear sky,36.9665,-2.206,La Casa del Cine
493,Murbad,IN,81.97,overcast clouds,19.25,73.4,OYO Flagship 62747 Hotel Sarika
495,Bati,ET,71.94,overcast clouds,11.1833,40.0167,Meqdela Hotel
499,Marinette,US,63.05,broken clouds,45.1,-87.6307,AmericInn by Wyndham Menominee
500,Nhamunda,BR,72.25,scattered clouds,-2.1861,-56.7131,Pousada Da Praia
501,Key West,US,84.0,scattered clouds,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
502,Boshkengash,TJ,71.94,clear sky,38.4661,68.8053,Чои свиданя
504,Lazurne,UA,69.6,clear sky,46.084,32.5295,New Manna Hostel
507,Ilo,PE,61.66,overcast clouds,-17.6394,-71.3375,Torreblanca Hotel
508,Gazanjyk,TM,85.26,broken clouds,39.2446,55.5154,Railway motel
514,Rabat,MA,71.67,broken clouds,33.9911,-6.8401,Hôtel Mercure Rabat Sheherazade
521,Kasongo,CD,70.59,few clouds,-4.45,26.6667,Guest Hôtel
523,The Valley,AI,81.82,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
525,Rio De Janeiro,BR,69.76,broken clouds,-22.9028,-43.2075,Hotel cruz de ouro
526,Zhanaozen,KZ,78.57,overcast clouds,43.3,52.8,K.korabay 28A
527,Varzea Da Palma,BR,64.49,overcast clouds,-17.5981,-44.7308,Casa Fernandes
530,Booue,GA,71.74,light rain,-0.0921,11.9385,Splendeur de l'équateur
531,Villagarzon,CO,67.48,overcast clouds,1.0375,-76.6267,Hotel Samari
534,Huarmey,PE,63.41,clear sky,-10.0681,-78.1522,Hotel Miramar
535,San Andres,CO,78.46,overcast clouds,12.5847,-81.7006,Hotel Arena Blanca
537,Ivanteyevka,RU,63.34,overcast clouds,55.9711,37.9208,New Slides
538,Owando,CG,72.0,overcast clouds,-0.4819,15.8999,Exaunel Hotel Owando
540,Cape Coast,GH,77.04,broken clouds,5.1053,-1.2466,Samrit Hotel
541,Lamu,KE,77.22,clear sky,-2.2717,40.902,Lamu House
543,Awbari,LY,76.3,few clouds,26.5921,12.7805,فندق أوباري
545,Damghan,IR,80.65,clear sky,36.1683,54.348,خوابگاه اساتيد دانشگاه دامغان
546,Tabuk,PH,85.53,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
547,Bodden Town,KY,82.99,clear sky,19.2833,-81.25,Will T Place
549,Gambela,ET,69.12,light rain,8.25,34.5833,Solomon Debebe Hotel
550,Vargem Grande,BR,72.07,clear sky,-3.5431,-43.9158,Pousada São Raimundo
553,Ambilobe,MG,67.42,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
554,Tumbes,PE,71.55,broken clouds,-3.5667,-80.4414,Wyndham Costa del Sol Tumbes
