City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
241,Caravelas,BR,-17.7125,-39.2481,73.06,69,100,10.42,overcast clouds
242,Wageningen,NL,51.9667,5.6667,49.95,92,100,1.14,overcast clouds
243,Tshikapa,CD,-6.4167,20.8,67.98,53,51,1.45,broken clouds
244,Souillac,MU,-20.5167,57.5167,71.98,68,40,17.27,scattered clouds
245,Koroni,GR,36.8,21.95,72.07,68,1,7.81,clear sky
246,Bandarbeyla,SO,9.4942,50.8122,80.74,62,70,25.21,broken clouds
247,Jurm,AF,36.8648,70.8342,69.49,55,1,0.81,clear sky
248,Ardakan,IR,32.31,54.0175,84.33,13,0,3.4,clear sky
249,Kasempa,ZM,-13.4584,25.8338,50.4,65,0,5.01,clear sky
250,Antofagasta,CL,-23.65,-70.4,56.48,83,54,3.87,broken clouds
251,Barhi,IN,23.9,80.8,89.83,47,51,11.59,broken clouds
252,Soyo,AO,-6.1349,12.3689,72.45,89,100,6.35,overcast clouds
253,Boajibu,SL,8.1833,-11.3333,71.82,99,97,1.43,light rain
254,Iralaya,HN,15.0,-83.2333,76.39,93,100,8.37,overcast clouds
255,Luderitz,NA,-26.6481,15.1594,58.01,89,34,10.33,light rain
256,Talcahuano,CL,-36.7167,-73.1167,49.68,93,100,9.22,light intensity drizzle
257,Saint-Augustin,CA,51.226,-58.6502,54.9,67,12,2.93,few clouds
258,Nileshwar,IN,12.25,75.1,79.41,81,49,3.98,scattered clouds
259,Maragogi,BR,-9.0122,-35.2225,75.18,86,25,0.78,scattered clouds
260,Banyo,CM,6.75,11.8167,63.68,92,100,1.97,overcast clouds
261,Novyy Svit,UA,47.8059,38.0211,62.69,54,7,4.16,clear sky
262,Syracuse,IT,37.0881,15.2792,69.31,62,0,5.17,clear sky
263,Palmas,BR,-10.2128,-48.3603,76.87,88,0,3.44,clear sky
264,San Cristobal,VE,7.7669,-72.225,65.97,99,99,4.52,overcast clouds
265,Kachiry,KZ,53.0675,76.1036,61.39,89,100,13.13,heavy intensity rain
266,Upington,ZA,-28.4478,21.2561,59.38,38,0,12.66,clear sky
267,Monte Carmelo,BR,-18.7247,-47.4986,57.74,25,65,6.04,broken clouds
268,Beyneu,KZ,45.3167,55.2,72.07,27,100,14.85,overcast clouds
269,Aksu,CN,41.1231,80.2644,84.02,15,100,9.62,overcast clouds
270,Corrente,BR,-3.7367,-43.3394,71.26,95,14,2.77,few clouds
271,Trairi,BR,-3.2778,-39.2689,76.75,81,0,9.01,clear sky
272,Nyagan,RU,62.1406,65.3936,50.68,74,93,10.71,overcast clouds
273,Muli,MV,2.9167,73.5667,82.94,74,78,7.34,broken clouds
274,Sergeyevka,KZ,53.88,67.4158,55.65,86,100,8.41,overcast clouds
275,Leh,IN,34.1667,77.5833,53.91,45,7,5.41,clear sky
276,Bengkulu,ID,-3.8004,102.2655,80.33,73,72,1.99,broken clouds
277,Pangody,RU,65.85,74.4859,53.28,70,100,15.59,overcast clouds
278,Aswan,EG,24.0934,32.907,85.3,30,0,8.05,clear sky
279,Rosita,NI,13.9268,-84.4032,71.92,100,100,1.45,overcast clouds
280,Jasper,US,37.2001,-94.3502,87.24,67,0,3.0,clear sky
281,Veraval,IN,20.9,70.3667,84.15,75,69,9.17,broken clouds
282,Henties Bay,NA,-22.116,14.2845,57.54,85,2,4.07,clear sky
283,Bereda,ES,43.2686,-7.5406,60.58,98,100,2.84,overcast clouds
284,Kayerkan,RU,69.3497,87.7602,57.63,59,99,8.32,overcast clouds
285,Ullapool,GB,57.8987,-5.1604,53.35,87,100,10.58,overcast clouds
286,Hauterive,FR,46.0901,3.4459,54.36,75,10,2.26,clear sky
287,Mosetse,BW,-20.75,26.65,51.4,46,0,6.8,clear sky
288,Havoysund,NO,70.9963,24.6622,41.23,81,98,4.9,overcast clouds
289,Tazovskiy,RU,67.4667,78.7,48.87,78,100,13.87,overcast clouds
290,Svetlyy,RU,54.675,20.1347,56.97,76,10,16.53,clear sky
291,Nadym,RU,65.5333,72.5167,51.37,70,92,18.21,overcast clouds
292,Marmora,IT,44.4583,7.094,60.46,80,3,2.89,clear sky
293,Bud,US,39.447,-86.1758,85.89,92,100,7.14,overcast clouds
294,Maceio,BR,-9.6658,-35.7353,72.84,94,0,3.44,clear sky
295,Talas,TR,38.6908,35.5538,52.47,94,40,3.44,scattered clouds
296,Carnarvon,AU,-24.8667,113.6333,66.54,52,60,9.89,broken clouds
297,Praia,CV,14.9215,-23.5087,73.94,78,20,10.36,few clouds
298,Chamba,IN,32.5667,76.1333,87.51,28,0,2.75,clear sky
299,Taoudenni,ML,22.6783,-3.9836,94.33,10,1,7.92,clear sky
300,Pavlodar,KZ,52.3,76.95,66.0,77,75,4.47,light rain
301,Severnyy,RU,50.677,36.5532,59.04,100,6,4.47,clear sky
302,Nantucket,US,41.2835,-70.0995,71.71,96,40,9.22,mist
303,Walvis Bay,NA,-22.9575,14.5053,57.09,82,18,3.44,few clouds
304,Salekhard,RU,66.53,66.6019,47.3,41,100,10.56,overcast clouds
305,Causapscal,CA,48.3542,-67.227,57.11,99,100,3.02,light rain
306,Nikki,BJ,9.9401,3.2108,73.71,88,100,6.87,overcast clouds
307,Oil City,US,41.4339,-79.7064,72.99,73,0,6.91,clear sky
308,San Luis,AR,-33.295,-66.3356,52.41,34,94,10.56,overcast clouds
309,Amapa,BR,1.0,-52.0,72.64,89,100,2.62,overcast clouds
310,Tondi,IN,9.7333,79.0167,86.38,61,94,4.12,overcast clouds
311,Bulawayo,ZW,-20.15,28.5833,47.55,56,0,2.53,clear sky
312,Dharchula,IN,29.85,80.5333,84.56,32,43,0.69,scattered clouds
313,Sidi Ali,DZ,36.0998,0.4206,77.47,43,95,1.1,overcast clouds
314,Itarema,BR,-2.9248,-39.9167,76.57,82,14,9.75,few clouds
315,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,86,100,1.99,overcast clouds
316,Jacareacanga,BR,-6.2222,-57.7528,71.82,98,100,1.5,overcast clouds
317,Sertaozinho,BR,-21.1378,-47.9903,57.31,59,100,5.17,overcast clouds
318,Santa Marta,CO,11.2408,-74.199,80.65,74,75,3.44,broken clouds
319,Plettenberg Bay,ZA,-34.0527,23.3716,59.29,71,2,16.6,clear sky
320,Yarim,YE,14.298,44.3779,61.68,37,56,4.94,broken clouds
321,Olinda,BR,-8.0089,-34.8553,80.33,74,20,6.91,few clouds
322,Azpeitia,ES,43.1825,-2.2669,69.21,84,7,3.24,clear sky
323,Guiratinga,BR,-16.3494,-53.7583,61.09,40,40,0.74,scattered clouds
324,Ust-Kulom,RU,61.6864,53.6902,55.02,57,100,2.59,overcast clouds
325,Bonthe,SL,7.5264,-12.505,77.72,85,99,10.83,moderate rain
326,Matara,LK,5.9485,80.5353,79.81,85,100,9.73,overcast clouds
327,Marystown,CA,47.1666,-55.1483,48.85,100,84,3.0,broken clouds
328,North Myrtle Beach,US,33.816,-78.68,82.38,93,100,18.41,overcast clouds
329,Kingston,JM,17.997,-76.7936,83.35,71,20,19.57,few clouds
330,Edd,ER,13.9297,41.6925,89.89,34,66,7.7,broken clouds
331,Knezica,BA,45.1028,16.6775,60.6,97,99,1.83,overcast clouds
332,San Javier,ES,37.8063,-0.8374,76.39,61,100,4.0,overcast clouds
333,Buta,CD,2.7858,24.73,67.62,99,69,1.21,broken clouds
334,Kapuskasing,CA,49.4169,-82.4331,73.4,46,20,1.14,few clouds
335,Oksfjord,NO,70.2396,22.3479,44.78,86,100,4.63,light rain
336,Cururupu,BR,-1.8283,-44.8683,74.44,92,1,3.49,clear sky
337,Wukari,NG,7.85,9.7833,76.91,82,100,6.53,overcast clouds
338,Keti Bandar,PK,24.1447,67.4497,84.04,74,6,10.18,clear sky
339,Udaipur,IN,24.5712,73.6918,77.9,67,93,11.16,overcast clouds
340,Talara,PE,-4.5772,-81.2719,63.84,83,80,10.27,broken clouds
341,Lixourion,GR,38.2019,20.4314,72.34,79,40,5.73,scattered clouds
342,Freeport,US,40.6576,-73.5832,81.18,80,0,3.44,clear sky
343,Yershov,RU,51.3513,48.2766,59.41,74,0,3.98,clear sky
344,Stornoway,GB,58.2093,-6.3865,52.93,88,100,13.8,overcast clouds
345,Eskisehir,TR,39.7767,30.5206,55.62,93,20,6.06,few clouds
